,en,cs,pl,de
PID-RELEASE,r20160814a,r20160814a,r20160814a,r20160814a
addresses.name,Name *,Jméno *,Imię i nazwisko,Name
addresses.line1,Line 1 *,Řádek 1,Adres,Adresszeile 1
addresses.line2,Line 2,Řádek 2,Adres - cd.,Adresszeile 2
addresses.city,City *,Město *,Miasto,Stadt
addresses.postalCode,Postal code *,Poštovní směrovací číslo *,Kod pocztowy,Postleitzahl
addresses.state,State,Stát,Państwo,Staat
addresses.country,Country *,Země *,Kraj,Land
addresses.nameInvalid,Name invalid,Neplatné jméno,Niepoprawne imię i nazwisko,Name ungültig
addresses.line1Invalid,Line 1 invalid,Řádek 1 neplatný,Niepoprawny adres,Adresszeile 1 ungültig
addresses.line2Invalid,Line 2 invalid,Řádek 2 neplatný,Niepoprawny adres,Adresszeile 2 ungültig
addresses.cityInvalid,City invalid,Neplatné město,Niepoprawna nazwa miasta,Stadt ungültig
addresses.postalCodeInvalid,Postal code invalid,Poštovní směrovací číslo *,Kod pocztowy,Postleitzahl
addresses.stateInvalid,State invalid,Neplatný stát,Niepoprawna nazwa państwa,Bundesstaat ungültig
addresses.countryInvalid,Country invalid,Neplatná země,Niepoprawna nazwa kraju,Land ungültig
addresses.namePlaceholder,John Doe,Jan Novák,Jan Kowalski,Wolfgang Müller
addresses.line1Placeholder,Martense Avenue 526,Pražská 125,Główna 25,Alexanderstraße 1
addresses.line2Placeholder,Flat 13,Byt 13,Mieszkanie nr 13,Wohnung Nr. 13
addresses.cityPlaceholder,New Jersey,Praha,Warszawa,Berlin
addresses.postalCodePlaceholder,7666,11000,00-001,10178
addresses.statePlaceholder,Pennsylvania,-,,
addresses.countryPlaceholder,USA,Česká republika,Polska,Deutschland
login_page.please,"Please, log-in or","Prosím, přihlaste se, nebo si",Zaloguj się lub,Melden Sie sich bitte an oder
login_page.Sign-Up,Sign-Up,vytvořte účet,Załóż konto,registrieren Sie sich
login_page.email,E-mail,Zadejte e-mail,E-mail,E-Mail-Adresse
login_page.invalid-email,Invalid email address,Neplatná e-mailová adresa,Niepoprawny adres e-mail,Ungültige E-Mail-Adresse
login_page.password,Password,Heslo,Hasło,Passwort
login_page.loginFailed,Login failed,Špatné přihlášení,Nie udało się zalogować,Anmeldung fehlgeschlagen
login_page.forgot,Forgot password?,Zapomenuté heslo?,Nie pamiętasz hasła?,Passwort vergessen?
login_page.proceed,Proceed here,Pokračujte zde,Przejdź dalej,Hier fortfahren
signup_page.name,your full name *,Vaše celé jméno *,Imię i nazwisko *,Vor- und Nachname *
signup_page.phone,phone number *,Telefonní číslo *,Numer telefonu *,Telefonnummer *
signup_page.email,e-mail *,E-mail *,E-mail *,E-Mail-Adresse *
signup_page.password,password *,Heslo *,Hasło *,Passwort *
signup_page.confirmation,password confirmation *,Potvrzení hesla *,Potwierdź hasło *,Passwort bestätigen *
signup_page.nameInvalid,Invalid name,Neplatné jméno,Niepoprawne imię lub nazwisko,Name ungültig
signup_page.phoneInvalid,Invalid phone number,Neplatné telefonní číslo,Niepoprawny numer telefonu,Telefonnummer ungültig
signup_page.emailInvalid,Invalid email address,Neplatná e-mailová adresa,Niepoprawny adres e-mail,Ungültige E-Mail-Adresse
signup_page.loginFailed,Login failed,Špatné přihlášení,Nie udało się zalogować,Anmeldung fehlgeschlagen
signup_page.minimumLength,Minimum length is,Minimální délka je,Długość minimum,Mindestlänge ist
signup_page.noMatching,Not matching password.,Heslo se neshoduje,Hasło się nie zgadza,Passwort und Bestätigungspasswort stimmen nicht überein.
signup_page.userNotCreated,"User was not created, it might exist already.","Uživatel nebyl vytvořen, možná již existuje","Nie udało się wytworzyć konta, być może już istnieje","Der Benutzer wurde nicht erstellt, wahrscheinlich gibt es ihn schon."
signup_page.loading,Loading,Načítám,Ładowanie,Laden
pageBase.noFileSelected,No file selected,,,Keine Datei ausgewählt
pageBase.couldNotUpload,Upload was unsucessfull,,,Fehler beim Hochladen.
